Designator,Mid X,Mid Y,Rotation,Layer
D1,248.5513,-71.16,90.0,bottom
D10,191.4013,-71.16,90.0,bottom
D11,177.1138,-90.21,90.0,bottom
D12,196.1638,-90.21,90.0,bottom
D13,215.2138,-90.21,90.0,bottom
D14,186.6388,-109.26,90.0,bottom
D15,167.5888,-109.26,90.0,bottom
D16,210.4513,-71.16,90.0,bottom
D17,229.5013,-71.16,90.0,bottom
D18,58.0513,-71.16,90.0,bottom
D19,115.2013,-71.16,90.0,bottom
D2,62.8138,-90.21,90.0,bottom
D20,81.8638,-90.21,90.0,bottom
D21,134.2513,-71.16,90.0,bottom
D22,172.3513,-71.16,90.0,bottom
D23,129.4888,-109.26,90.0,bottom
D24,77.1013,-71.16,90.0,bottom
D25,91.3888,-109.26,90.0,bottom
D27,153.3013,-71.16,90.0,bottom
D28,72.3388,-109.26,90.0,bottom
D29,239.0263,-128.31,90.0,bottom
D3,148.5388,-109.26,90.0,bottom
D30,258.0763,-128.31,90.0,bottom
D31,219.9763,-128.31,90.0,bottom
D32,277.1263,-128.31,90.0,bottom
D33,150.92,-128.31,90.0,bottom
D34,219.9763,-52.11,90.0,bottom
D35,48.5263,-52.11,90.0,bottom
D36,67.5763,-52.11,90.0,bottom
D37,86.6263,-52.11,90.0,bottom
D38,105.6763,-52.11,90.0,bottom
D39,124.7263,-52.11,90.0,bottom
D4,110.4388,-109.26,90.0,bottom
D40,143.7763,-52.11,90.0,bottom
D41,162.8263,-52.11,90.0,bottom
D42,181.8763,-52.11,90.0,bottom
D43,200.9263,-52.11,90.0,bottom
D44,239.0263,-52.11,90.0,bottom
D45,234.2638,-90.21,90.0,bottom
D46,205.6888,-109.26,90.0,bottom
D47,258.0763,-52.11,90.0,bottom
D48,224.7388,-109.26,90.0,bottom
D49,243.7888,-109.26,90.0,bottom
D5,100.9138,-90.21,90.0,bottom
D50,265.22,-90.21,90.0,bottom
D51,277.1263,-52.11,90.0,bottom
D52,29.4763,-52.11,90.0,bottom
D53,46.145,-109.26,90.0,bottom
D54,269.9825,-109.26,90.0,bottom
D6,96.1513,-71.16,90.0,bottom
D7,119.9638,-90.21,90.0,bottom
D8,139.0138,-90.21,90.0,bottom
D9,158.0638,-90.21,90.0,bottom
J1,148.55,-33.5,90.0,top
SW1,240.9313,-71.12,0.0,top
SW10,183.7813,-71.12,0.0,top
SW11,169.4938,-90.17,0.0,top
SW12,188.5438,-90.17,0.0,top
SW13,207.5938,-90.17,0.0,top
SW14,179.0188,-109.22,0.0,top
SW15,159.9688,-109.22,0.0,top
SW16,202.8313,-71.12,0.0,top
SW17,221.8813,-71.12,0.0,top
SW18,50.4313,-71.12,0.0,top
SW19,107.5813,-71.12,0.0,top
SW2,55.1938,-90.17,0.0,top
SW20,74.2438,-90.17,0.0,top
SW21,126.6313,-71.12,0.0,top
SW22,164.7313,-71.12,0.0,top
SW23,121.8688,-109.22,0.0,top
SW24,69.4813,-71.12,0.0,top
SW25,83.7688,-109.22,0.0,top
SW26,145.6813,-71.12,0.0,top
SW27,64.7188,-109.22,0.0,top
SW28,231.4063,-128.27,0.0,top
SW29,250.4563,-128.27,0.0,top
SW3,140.9188,-109.22,0.0,top
SW30,212.3563,-128.27,0.0,top
SW31,269.5063,-128.27,0.0,top
SW32,143.3,-131.2175,0.0,top
SW33,212.3563,-52.07,0.0,top
SW34,40.9063,-52.07,0.0,top
SW35,59.9563,-52.07,0.0,top
SW36,79.0063,-52.07,0.0,top
SW37,98.0563,-52.07,0.0,top
SW38,117.1063,-52.07,0.0,top
SW39,136.1563,-52.07,0.0,top
SW4,102.8188,-109.22,0.0,top
SW40,155.2063,-52.07,0.0,top
SW41,174.2563,-52.07,0.0,top
SW42,193.3063,-52.07,0.0,top
SW43,231.4063,-52.07,0.0,top
SW44,226.6438,-90.17,0.0,top
SW45,198.0688,-109.22,0.0,top
SW46,250.4563,-52.07,0.0,top
SW47,217.1188,-109.22,0.0,top
SW48,236.1688,-109.22,0.0,top
SW49,257.6,-93.1175,0.0,top
SW5,93.2938,-90.17,0.0,top
SW50,269.5063,-52.07,0.0,top
SW51,21.8563,-52.07,0.0,top
SW52,38.525,-109.22,0.0,top
SW53,262.3625,-109.22,0.0,top
SW6,88.5313,-71.12,0.0,top
SW7,112.3438,-90.17,0.0,top
SW8,131.3938,-90.17,0.0,top
SW9,150.4438,-90.17,0.0,top
